Année;Mois;Jour;Heure;Minute;Jour Semaine;langue;Nombre de mots du message;Reponse ?;Mot_frequent_1;Freq_dist_1;Mot_frequent_2;Freq_dist_2;Mot_frequent_3;Freq_dist_3;Mot_frequent_4;Freq_dist_4;Mot_frequent_5;Freq_dist_5;Mots_rares_1;Mots_rares_2;Mots_rares_3;Mots_rares_4;Mots_rares_5;Catégorie;Sentiment_neg;Sentiment_pos;Sentiment_neu;Sentiment_global;datetime
2009;2;11;22;27;Wednesday;British English;497;False;the;34;to;26;a;16;of;15;it;10;developed;new;open;source;called;technique;0,067;0,196;0,737;0,9973;2009-02-11 22:27:00
2009;2;15;16;42;Sunday;British English;82;False;the;6;only;3;that;3;a;3;of;3;could;talking;about;old;chaumian;communauté;0,143;0,08;0,778;-0,7783;2009-02-15 16:42:00
2009;2;18;20;50;Wednesday;British English;260;False;the;22;to;13;a;9;of;9;value;7;global;distributed;with;additions;database;économie;0,049;0,171;0,779;0,9844;2009-02-18 20:50:00
2009;11;22;18;4;Sunday;British English;27;False;to;2;the;2;forum;2;here;2;welcome;1;welcome;the;new;bitcoin;old;technique;0,0;0,164;0,836;0,5707;2009-11-22 18:04:00
2009;11;22;18;31;Sunday;British English;260;True;the;29;to;11;when;10;you;8;bitcoin;6;perspective;maturation;process;be;broken;technique;0,051;0,061;0,888;0,168;2009-11-22 18:31:00
2009;11;22;18;32;Sunday;British English;25;True;make;2;this;2;anonymous;2;to;2;request;1;of;there;any;plans;service;technique;0,0;0,0;1,0;0,0;2009-11-22 18:32:00
2009;11;22;18;34;Sunday;British English;239;True;the;17;to;16;it;10;you;8;block;8;important;connectivity;while;trying;coin;technique;0,099;0,058;0,843;-0,8566;2009-11-22 18:34:00
2009;11;22;18;35;Sunday;British English;39;True;a;2;proxy;2;in;2;there;1;will;1;there;will;be;setting;version;autres;0,06;0,097;0,844;0,128;2009-11-22 18:35:00
2009;11;25;18;15;Wednesday;British English;83;True;to;5;which;4;bitcoins;3;the;3;bitcoin;3;anonymous;on;from;or;coins;technique;0,035;0,0;0,965;-0,4329;2009-11-25 18:15:00
2009;11;25;18;17;Wednesday;British English;469;True;to;27;the;24;you;17;bitcoin;16;address;15;coins;being;do;blocks;have;technique;0,011;0,033;0,956;0,8559;2009-11-25 18:17:00
2009;11;27;17;17;Friday;British English;27;True;scott;1;compileposted;1;thu;1;of;1;oct;1;of;we;get;instructions;or;technique;0,0;0,141;0,859;0,6249;2009-11-27 17:17:00
