Année;Mois;Jour;Heure;Minute;Jour Semaine;Reponse ?;datetime
2008;10;31;18;10;Friday;False;2008-10-31 18:10:00
2008;11;3;1;37;Monday;True;2008-11-03 01:37:00
2008;11;3;16;23;Monday;True;2008-11-03 16:23:00
2008;11;6;20;15;Thursday;False;2008-11-06 20:15:00
2008;11;8;18;54;Saturday;True;2008-11-08 18:54:00
2008;11;9;1;58;Sunday;True;2008-11-09 01:58:00
2008;11;9;3;9;Sunday;True;2008-11-09 03:09:00
2008;11;9;16;31;Sunday;False;2008-11-09 16:31:00
2008;11;10;2;14;Monday;True;2008-11-10 02:14:00
2008;11;10;22;18;Monday;True;2008-11-10 22:18:00
2008;11;13;22;56;Thursday;True;2008-11-13 22:56:00
2008;11;14;18;55;Friday;True;2008-11-14 18:55:00
2008;11;15;4;43;Saturday;True;2008-11-15 04:43:00
2008;11;15;18;2;Saturday;True;2008-11-15 18:02:00
2008;11;17;17;24;Monday;True;2008-11-17 17:24:00
2008;12;10;17;0;Wednesday;False;2008-12-10 17:00:00
2009;1;8;19;27;Thursday;False;2009-01-08 19:27:00
2009;1;11;22;32;Sunday;False;2009-01-11 22:32:00
2009;1;12;20;20;Monday;False;2009-01-12 20:20:00
2009;1;12;22;48;Monday;False;2009-01-12 22:48:00
2009;1;16;16;3;Friday;True;2009-01-16 16:03:00
2009;1;16;18;35;Friday;True;2009-01-16 18:35:00
2009;1;25;15;47;Sunday;True;2009-01-25 15:47:00
2009;1;25;16;45;Sunday;True;2009-01-25 16:45:00
2009;2;4;19;46;Wednesday;False;2009-02-04 19:46:00
2009;2;11;22;37;Wednesday;False;2009-02-11 22:37:00
2009;2;12;19;8;Thursday;False;2009-02-12 19:08:00
2009;2;13;2;38;Friday;True;2009-02-13 02:38:00
2009;2;13;18;36;Friday;False;2009-02-13 18:36:00
2009;2;13;18;52;Friday;False;2009-02-13 18:52:00
2009;2;22;17;47;Sunday;True;2009-02-22 17:47:00
2009;3;4;16;59;Wednesday;True;2009-03-04 16:59:00
2009;10;23;23;57;Friday;True;2009-10-23 23:57:00
2009;12;17;6;52;Thursday;False;2009-12-17 06:52:00
2010;7;6;21;53;Tuesday;False;2010-07-06 21:53:00
2010;7;30;6;2;Friday;False;2010-07-30 06:02:00
2010;8;15;20;38;Sunday;False;2010-08-15 20:38:00
2010;12;8;23;11;Wednesday;False;2010-12-08 23:11:00
2010;12;13;16;12;Monday;False;2010-12-13 16:12:00
